duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
102,udp,telnet,RSTO,13057,15190,1,1,2,0,7,1,1,0,1,4,2,0,0,4,0,1,684,145,0.9519900045279204,0.7637818606784028,0.8679509929342624,0.919250495221573,0.23301896439683478,0.9865694907793265,0.07055006370989458,419,423,0.013409453872123112,0.5191630395745405,0.17461091698226194,0.08438794789498705,0.8154877655801359,0.4439882143420303,0.716354482874087,0.4384398449615252,1.0
435,icmp,ftp,REJ,1248,7009,0,1,1,2,1,1,3,1,0,4,1,0,0,1,1,0,428,447,0.6710129805329098,0.9571348325397961,0.857857783517489,0.8363785774103993,0.8131420044817255,0.055926350128225666,0.9340329911306393,244,357,0.019446258419546614,0.2980575717948095,0.3222603938194847,0.25921533377198647,0.4947542404357036,0.17470859204878564,0.2242583831512317,0.030293226479625623,0.0
860,icmp,private,REJ,4033,6667,0,1,1,0,3,1,4,0,1,0,0,0,1,3,1,1,149,240,0.6970241660042995,0.4271050453603432,0.3049031243850635,0.9744393106384753,0.5884312404534523,0.14218137638735162,0.7663512805573902,334,46,0.9729616349520416,0.42253938022385484,0.9743049631104774,0.01892764051146345,0.13376069507700217,0.19865065268113913,0.09843470904498974,0.770642527014762,0.0
270,icmp,smtp,SF,1997,2322,1,0,0,0,2,0,3,0,1,2,4,0,0,0,0,0,415,371,0.36298284040387163,0.47510034069172047,0.19267639648670032,0.9756019191566524,0.21076309942990623,0.052825893908602484,0.6579499112045923,7,93,0.22145089137324503,0.29833774358749876,0.9863281735601263,0.035892751188932426,0.8857019135404777,0.280709742464594,0.9168065780747764,0.6218245645904158,0.0
106,icmp,ftp,RSTO,3687,9828,1,1,2,0,3,0,4,1,0,1,3,0,1,3,0,0,452,380,0.8792795561570067,0.8979552161850192,0.12907124693088146,0.0652767575664639,0.23672047585383293,0.6258411949823758,0.8238963816246643,153,427,0.8056082888143147,0.26302583574278404,0.512605053021588,0.9148578059207596,0.6492287795409635,0.9993162681897128,0.5601718955673585,0.6013596072783542,0.0
71,tcp,smtp,S0,4018,4090,1,1,0,2,1,1,0,0,0,1,4,1,4,0,1,1,214,343,0.7253716002348575,0.5250493402453846,0.29785939839021125,0.8218393227529025,0.628030464569537,0.05450927741371958,0.6475197955701631,35,47,0.05827530156057448,0.1636084208437122,0.9342697914638769,0.3520165825018783,0.16354568682413928,0.2680115005195973,0.15382592450741095,0.546049931882766,0.0
700,icmp,http,SF,1970,6960,0,0,0,2,1,1,0,0,1,2,2,0,1,4,0,0,196,236,0.11259046652919447,0.7072789119056672,0.7800480870400435,0.6463099336573813,0.8299395932124434,0.8364397373761233,0.9689443971742911,47,239,0.9211627366945491,0.3627671331374759,0.5227306780568546,0.41080900100968065,0.03364972339902661,0.32880180457845365,0.7934365818873615,0.5903131723250685,0.0
20,udp,ftp,S0,8389,3004,0,0,2,0,0,1,3,1,0,1,3,0,0,0,1,0,41,34,0.40777803440616267,0.25217287749552997,0.4716263651952617,0.6473421343730912,0.4156277820291552,0.5119386306819278,0.7139579478647715,84,346,0.8744170036666784,0.25098720631607074,0.2915881281611573,0.01837165453810441,0.14110964833264927,0.6593281279840014,0.9149299366292826,0.9346519527072206,0.0
614,tcp,private,REJ,5765,5136,0,0,2,0,4,0,2,0,0,0,3,0,4,0,0,0,52,189,0.8863803619601417,0.44672646870264054,0.22748160369353998,0.1283499266146948,0.2583004291275922,0.5270076245815337,0.9246586095822468,27,212,0.5710931624345147,0.6834344870539171,0.26689928809877184,0.2705217801718466,0.6087979601803936,0.2939613764102983,0.16956351857110907,0.00856921081074069,0.0
121,udp,ftp,REJ,1202,329,1,2,1,2,3,0,4,1,1,0,0,0,0,0,1,1,479,0,0.047196701697378995,0.12344986581035511,0.1661849996097492,0.6501871664456533,0.8670116069106004,0.5615945077121942,0.517131892010638,195,435,0.008998657283255773,0.6838767411633063,0.9295057053681488,0.804725983741431,0.17929623526004845,0.21580425105969336,0.8174124552691105,0.04779970965774927,0.0
